analysis_name,num_stories,num_bays_x,num_bays_z,build_core,data_file,max_roof_disp_actual,peak_shear_kN,col_dims,col_fc,col_Fy,col_cover,col_rebar_Area,col_num_bars_x,col_num_bars_z,beam_dims,beam_fc,beam_Fy,beam_cover,beam_rebar_Area,beam_num_bars_top,beam_num_bars_bot
Building_0001_S3_BX3_BZ2_CFalse,3,3,2,False,dataset_output_parallel\Building_0001_S3_BX3_BZ2_CFalse\Building_0001_S3_BX3_BZ2_CFalse_graph_data.pt,0.2499,3780.633,"(np.float64(0.6), np.float64(0.6))",-24000000.0,400000000.0,0.059,0.000284,3,4,"(0.4, 0.5)",-24000000.0,400000000.0,0.055,0.000387,4,5
Building_0002_S3_BX4_BZ2_CFalse,3,4,2,False,dataset_output_parallel\Building_0002_S3_BX4_BZ2_CFalse\Building_0002_S3_BX4_BZ2_CFalse_graph_data.pt,0.35322,3225.555,"(np.float64(0.5), np.float64(0.5))",-21000000.0,400000000.0,0.043,0.000387,3,4,"(0.3, 0.5)",-21000000.0,400000000.0,0.041,0.000387,5,4
Building_0003_S3_BX3_BZ4_CFalse,3,3,4,False,dataset_output_parallel\Building_0003_S3_BX3_BZ4_CFalse\Building_0003_S3_BX3_BZ4_CFalse_graph_data.pt,0.37254,6989.095,"(np.float64(0.5), np.float64(0.5))",-27000000.0,400000000.0,0.044,0.000491,5,4,"(0.4, 0.5)",-27000000.0,400000000.0,0.052,0.000284,3,5
Building_0000_S5_BX3_BZ4_CFalse,5,3,4,False,dataset_output_parallel\Building_0000_S5_BX3_BZ4_CFalse\Building_0000_S5_BX3_BZ4_CFalse_graph_data.pt,0.7,3842.04,"(np.float64(0.5), np.float64(0.5))",-27000000.0,500000000.0,0.06,0.000387,5,5,"(0.3, 0.5)",-27000000.0,500000000.0,0.056,0.000387,4,5
Building_0005_S5_BX3_BZ3_CFalse,5,3,3,False,dataset_output_parallel\Building_0005_S5_BX3_BZ3_CFalse\Building_0005_S5_BX3_BZ3_CFalse_graph_data.pt,0.7,4617.848,"(np.float64(0.6), np.float64(0.6))",-21000000.0,400000000.0,0.05,0.000387,4,3,"(0.4, 0.6)",-21000000.0,400000000.0,0.06,0.000491,3,5
Building_0007_S4_BX2_BZ2_CFalse,4,2,2,False,dataset_output_parallel\Building_0007_S4_BX2_BZ2_CFalse\Building_0007_S4_BX2_BZ2_CFalse_graph_data.pt,0.56,1998.951,"(np.float64(0.6), np.float64(0.6))",-21000000.0,500000000.0,0.047,0.000387,4,4,"(0.3, 0.5)",-21000000.0,500000000.0,0.046,0.000387,5,5
Building_0006_S4_BX4_BZ4_CFalse,4,4,4,False,dataset_output_parallel\Building_0006_S4_BX4_BZ4_CFalse\Building_0006_S4_BX4_BZ4_CFalse_graph_data.pt,0.56,4479.19,"(np.float64(0.4), np.float64(0.4))",-24000000.0,400000000.0,0.06,0.000284,3,5,"(0.4, 0.6)",-24000000.0,400000000.0,0.041,0.000284,3,4
Building_0009_S3_BX2_BZ4_CFalse,3,2,4,False,dataset_output_parallel\Building_0009_S3_BX2_BZ4_CFalse\Building_0009_S3_BX2_BZ4_CFalse_graph_data.pt,0.42,4179.63,"(np.float64(0.4), np.float64(0.4))",-27000000.0,500000000.0,0.054,0.000387,5,5,"(0.4, 0.5)",-27000000.0,500000000.0,0.041,0.000387,3,4
Building_0004_S5_BX4_BZ4_CFalse,5,4,4,False,dataset_output_parallel\Building_0004_S5_BX4_BZ4_CFalse\Building_0004_S5_BX4_BZ4_CFalse_graph_data.pt,0.7,4741.63,"(np.float64(0.5), np.float64(0.5))",-27000000.0,400000000.0,0.056,0.000284,5,5,"(0.3, 0.6)",-27000000.0,400000000.0,0.053,0.000387,4,3
Building_0008_S4_BX3_BZ4_CFalse,4,3,4,False,dataset_output_parallel\Building_0008_S4_BX3_BZ4_CFalse\Building_0008_S4_BX3_BZ4_CFalse_graph_data.pt,0.56,4904.29,"(np.float64(0.5), np.float64(0.5))",-24000000.0,400000000.0,0.044,0.000387,5,4,"(0.3, 0.6)",-24000000.0,400000000.0,0.05,0.000284,5,3
