Mode,Period (s),Mass Part. Ratio X,Mass Part. Ratio Z,Eff. Modal Mass X (kg),Eff. Modal Mass Z (kg),Part. Factor X,Part. Factor Z
1,0.5336586105691451,0.8046138749349975,0.0,1574779.4494140623,0.0,1254.9021672680553,0.0
2,0.5199026030787471,0.0,0.8059442132189725,0.0,1577383.169602882,0.0,-1255.9391584001519
3,0.27819121886238907,0.0,0.0,0.0,0.0,0.0,0.0
4,0.15537781737396808,0.11480044423746721,0.0,224685.88474611318,0.0,-474.0104268326944,0.0
5,0.15193114963153803,0.0,0.11412317474122437,0.0,223360.34200117306,0.0,-472.61013742954464
6,0.08977650091034788,0.0,0.0,0.0,0.0,0.0,0.0
7,0.07794222207427064,0.04855458311819065,0.0,95030.37674508261,0.0,-308.2699737974534,0.0
8,0.07655376774160973,0.0,0.048213373945498336,0.0,94362.56674348298,0.0,-307.1849064382607
9,0.05146430021334265,0.0,0.0,0.0,0.0,0.0,0.0
10,0.04821840607085051,0.024025769419134115,0.0,47022.912624605,0.0,216.84767147609628,0.0
11,0.047528344150557705,0.0,0.0238120029135483,0.0,46604.53169624132,0.0,-215.88082753278792
12,0.035838673073375044,0.008005328290209784,0.0,15667.920812643002,0.0,125.17156551167281,0.0
13,0.03579206837142057,0.0,0.0,0.0,0.0,0.0,0.0
14,0.03541104136581639,0.0,0.007907235180763625,0.0,15475.934298742262,0.0,124.40230825327262
15,0.02876861748261531,0.0,0.0,0.0,0.0,0.0,0.0
16,4.68621368982162e-154,0.09789123196448389,0.0,191591.40200999906,0.0,437.71155114984,0.0
17,4.68621368982162e-154,0.7557689901651278,0.0,1479180.898182513,0.0,1216.2158106941847,0.0
18,4.68621368982162e-154,0.0583056064466977,0.0,114114.9483972065,0.0,337.80904131951013,0.0
19,4.68621368982162e-154,0.0726856900567144,0.0,142259.4545452514,0.0,-377.1729769552047,0.0
20,4.68621368982162e-154,0.3490909012333884,0.0,683236.0146463871,0.0,-826.5809183899582,0.0
